budget_bytes,requested_bpp,budget_source,encode_axis,n_correct,n_total,top1_accuracy,accuracy_difference_from_clean,mean_emitted_bytes,median_emitted_bytes,maximum_emitted_bytes,mean_realized_bpp,infeasible_count,decode_failure_count,mean_psnr,mean_ssim,selected_point_estimate
10656,3.3300000000000001,packetisation:qam16:5/6:r_1_3|direct_bpp:3.33,96,883,1000,0.88300000000000001,-0.015000000000000013,7826.7380000000003,7971.5,10656,2.4458556250000001,0,0,28.247324843072509,0.88068878737051137,false
10656,3.3300000000000001,packetisation:qam16:5/6:r_1_3|direct_bpp:3.33,64,825,1000,0.82499999999999996,-0.073000000000000065,4341.375,4388,7336,1.3566796875,0,0,25.280543551951379,0.77338732847535585,false
12800,4,direct_bpp:4.00,160,898,1000,0.89800000000000002,0,12401.460999999999,12754,12800,3.8754565625000006,0,0,46.992198176056981,0.99460134378160725,true
12800,4,direct_bpp:4.00,128,890,1000,0.89000000000000001,-0.0080000000000000071,10971.668,11994.5,12800,3.4286462499999999,0,0,30.938941313843831,0.9348951443371244,false
12800,4,direct_bpp:4.00,96,883,1000,0.88300000000000001,-0.015000000000000013,7880.8500000000004,7971.5,12790,2.4627656249999998,0,0,28.247502134056354,0.88070733364375076,false
12800,4,direct_bpp:4.00,64,825,1000,0.82499999999999996,-0.073000000000000065,4341.375,4388,7336,1.3566796875,0,0,25.280543551951379,0.77338732847535585,false
15997,4.9990625,packetisation:qam16:5/6:r_1_2,160,898,1000,0.89800000000000002,0,14952.035,15931,15997,4.6725109375000002,0,0,49.396979604633117,0.99692256094019072,true
15997,4.9990625,packetisation:qam16:5/6:r_1_2,128,890,1000,0.89000000000000001,-0.0080000000000000071,11683.521000000001,11994.5,15995,3.6511003124999997,0,0,30.943363452527812,0.93512209524149725,false
15997,4.9990625,packetisation:qam16:5/6:r_1_2,96,883,1000,0.88300000000000001,-0.015000000000000013,7885.7979999999998,7971.5,13960,2.4643118750000004,0,0,28.247513811928595,0.88070843839342694,false
15997,4.9990625,packetisation:qam16:5/6:r_1_2,64,825,1000,0.82499999999999996,-0.073000000000000065,4341.375,4388,7336,1.3566796875,0,0,25.280543551951379,0.77338732847535585,false
